
time (s)          value(VT("/OUT") 6.2e-07 ?period 5e-07 ?xName "time") (V)

 6.20000e-07       1.32900e+00      
 1.12000e-06       6.93334e-01      
 1.62000e-06       5.31131e-01      
 2.12000e-06       7.52173e-01      
 2.62000e-06       4.44931e-01      
 3.12000e-06       5.56463e-01      
 3.62000e-06       6.14114e-01      
 4.12000e-06       1.33800e+00      
 4.62000e-06       4.55747e-01      
 5.12000e-06       1.28890e+00      
 5.62000e-06       5.25041e-01      
 6.12000e-06       5.84866e-01      
 6.62000e-06       4.39618e-01      
 7.12000e-06       5.28987e-01      
 7.62000e-06       5.55418e-01      
 8.12000e-06       5.24648e-01      
 8.62000e-06       6.50409e-01      
 9.12000e-06       4.12112e-01      
 9.62000e-06       6.36242e-01      
 1.01200e-05       4.11425e-01      
 1.06200e-05       7.71591e-01      
 1.11200e-05       1.38612e+00      
 1.16200e-05       5.13501e-01      
 1.21200e-05       5.19801e-01      
 1.26200e-05       6.20889e-01      
 1.31200e-05       4.67896e-01      
 1.36200e-05       7.64526e-01      
 1.41200e-05       9.44496e-01      
 1.46200e-05       1.33891e+00      
 1.51200e-05       1.13255e+00      
 1.56200e-05       6.87056e-01      
